node	traffic
985	0.000155
986	0.0032369767
987	0.0618518605
989	0.0013263158
990	0.1012763953
991	0.0006755294
992	0.1689002326
993	0.0003806977
994	0.0003692857
995	0.0010169412
996	0.0844502326
997	0.0002955556
998	0.0006223913
999	0.0006346512
1000	0.000115
1001	6.90196078431E-05
1002	0.0044640698
1004	2.0471433333
1006	0.0008158824
1007	0.0795246512
1008	0.0001595556
1009	0.0005398837
1010	0.0011743023
1012	0.0038683333
1014	0.0006974194
1016	0.0019368605
1017	0.0009229268
1018	0.0001056977
1019	0.0012804706
1020	0.0005789286
1021	0.0136947674
1022	0.0036138372
1023	0.0002573333
1024	0.020137907
1026	0.0003173256
1027	0.0019366279
1028	0.0254944186
1029	9.17391304348E-05
1031	0.000910122
1033	0.0018065116
1034	0.0314569767
1035	0.0005665217
1036	0.008465814
1037	0.0005074419
1038	0.0149109722
1039	0.0031426744
1040	0.0003495349
1041	0.0005789286
1042	0.023687093
1043	0.0000675
1044	0.0004703571
1045	0.0007936842
1046	0.0005125
1047	0.000217
1048	0.0004127907
1050	0.0002658824
1052	0.0016819767
1053	0.0017775581
1054	0.000975
1055	0.0004762791
1056	0.0003739474
1057	0.0001695238
1058	0.0005446032
1059	0.002987907
1060	0.0605763953
1061	0.0005235484
1062	0.0002787671
1064	0.000178
1065	0.0009326829
1066	0.0009204762
1068	0.0003657576
1069	0.0019272093
1070	0.0002433333
1072	0.0007239286
1073	0.0004364286
1074	0.009176
1075	0.0005269565
1077	0.0011228205
1078	6.98305084746E-05
1079	0.0316949412
1080	0.0005033333
1081	0.000098
1082	0.0123281395
1083	0.0004980233
1084	0.0006770833
1086	0.0132368605
1087	0.0023376744
1088	0.000919878
1089	0.0152139683
1090	0.0072211628
1093	0.005964
1094	0.0013408696
1095	0.0009524419
1096	0.0003173256
1099	0.0022378824
1100	0.0002490698
1101	0.0005051786
1102	0.0001533333
1103	0.0073017442
1104	0.0003816667
1105	0.0003725676
1106	0.000112
1107	0.0012269643
1108	0.0004969231
1111	0.1276988372
1112	0.0626989535
1115	0.0006793333
1116	0.0026569767
1117	0.0003495349
1118	0.0008886364
1119	0.0011654545
1120	0.0003283333
1121	0.00287
1122	0.00068375
1123	0.0116848235
1124	0.0001011321
1125	0.0006642857
1126	0.0013356471
1128	0.2284627907
1129	2.06060606061E-05
1132	0.0015872093
1133	0.0003495349
1134	0.0004975
1136	0.0001045238
1137	5.28571428571E-05
1138	0.0006436905
1139	0.0015877907
1140	0.0005790476
1142	0.021664375
1143	0.0004762791
1144	0.0008472619
1147	0.0004144444
1148	0.0003184884
1150	8.33333333333E-05
1151	0.0017727273
1153	0.0011853846
1154	0.0004440385
1155	0.0016790278
1156	2.45454545455E-05
1157	0.0026455814
1158	0.0116740476
1159	0.00042
1160	0.020822561
1162	0.001629863
1164	0.0100066667
1166	0.0004252174
1167	0.0009292683
1168	0.0015383824
1170	0.0099596512
1176	0.0004634
1180	0.0040256667
1182	0.00023
1183	0.0002793333
1184	0.0075551163
1185	0.0022161972
1186	0.0009359259
1187	0.0019366279
1189	0.0001223077
1194	0.0025506977
1195	0.006825
1196	7.65217391304E-05
1197	0.0003495349
1198	0.0003116667
1199	0.0017003488
1200	0.0164345349
1201	0.0002358824
1203	0.0071105814
1204	0.0019366279
1206	0.0013818605
1207	0.001307093
1208	0.000182
1209	0.0003742222
1211	0.0001507143
1213	0.00036375
1214	0.0022316279
1215	0.0161537209
1216	0.0064755814
1217	0.0007051613
1218	0.0004811111
1219	0.00043
1221	0.0001707143
1222	0.002794186
1223	0.0003806977
1224	0.000385
1225	0.0017090244
1227	0.0003133333
1228	0.000889186
1229	0.0033637209
1230	0.0003806977
1231	0.0228394048
1232	0.0002802326
1233	0.000636
1234	0.0103343421
1235	0.0000675
1236	0.0009323171
1238	0.0121701163
1239	0.0002223256
1240	0.0005074419
1241	0.0036570423
1242	0.0004511111
1243	0.0017743023
1244	0.001307093
